model,area,label,train_seconds,val_MAE,val_RMSE,val_MAPE_percent,val_sMAPE_percent,notes,param.order,param.daily_terms,param.weekly_terms
sarima,5161,sarima.S0_baseline,1.23,101.0329,153.5473,7.6215,7.6474,"Baseline: ARMA(1,1) plus 3 daily + 2 weekly harmonics. Smallest reasonable Fourier-ARIMA.","(1, 0, 1)",3,2
sarima,5161,sarima.S1_more_arma,6.42,100.6107,152.8272,7.5971,7.6236,"Increase ARMA order to (2,0,2) following PACF spikes at lags 1-2.","(2, 0, 2)",3,2
sarima,5161,sarima.S2_more_daily,7.427,100.0423,151.563,7.5895,7.6134,Add one more daily Fourier pair (K=4): the morning ramp around 07:00 and the late-night trough are sharp and warrant a higher harmonic.,"(2, 0, 2)",4,2
sarima,5161,sarima.S3_full,9.126,100.1743,151.6991,7.5854,7.6101,"Final selected configuration: ARMA(2,2) + 4 daily + 3 weekly harmonics. Adds one more weekly Fourier pair to better capture weekday vs weekend amplitude differences observed in EDA.","(2, 0, 2)",4,3
